count,T_count,sum_leg,reflex,on_reflex_,reflex_index,traj_error
44,0,[29. 11. 13. 53. 31. 20.],[0. 0. 0. 0. 0. 0.],[1. 0. 1. 0. 1. 0.],[  3. -10.   3.  -2.   3.  -2.],[-4.  2.  3. -4. -1.  2.  4. -2.  1.  4. 11. -1. -6.  2. -2. -6. -1.  1.]
45,0,[32. 13. 13. 60. 33. 26.],[0. 0. 0. 0. 0. 0.],[1. 0. 1. 0. 1. 0.],[  3. -10.   3.  -2.   3.  -2.],[-4.  3.  4. -4. -2.  1.  5. -1.  1.  3. 11.  0. -6.  1. -2. -5. -1.  1.]
46,0,[35. 14. 19. 57. 34. 24.],[0. 0. 0. 0. 0. 0.],[1. 0. 1. 0. 1. 0.],[  3. -10.   3.  -2.   3.  -2.],[-5.  2.  4. -4. -1.  1.  5. -2.  1.  3. 11. -1. -7.  1. -1. -5. -1.  1.]
47,0,[39. 20. 21. 56. 36. 24.],[0. 0. 0. 0. 0. 0.],[1. 0. 1. 0. 1. 0.],[  3. -10.   3.  -2.   3.  -2.],[-5.  2.  1. -3.  0.  0.  5. -1.  1.  3. 11. -1. -6.  2. -2. -5.  0.  1.]
48,0,[39. 15. 29. 57. 38. 25.],[0. 0. 0. 0. 0. 0.],[1. 0. 1. 0. 1. 0.],[  3. -10.   3.  -2.   3.  -2.],[-3.  2.  1. -3. -1.  1.  4. -1.  0.  3. 11. -1. -7.  1. -1. -5. -1.  0.]
49,0,[36. 14. 24. 56. 37. 20.],[0. 0. 0. 0. 0. 0.],[1. 0. 1. 0. 1. 0.],[  3. -10.   3.  -2.   3.  -2.],[-5.  3.  1. -3. -1.  0.  5. -1.  1.  3. 12. -1. -7.  2. -2. -4. -1.  0.]
50,0,[34. 13. 24. 61. 39. 19.],[0. 0. 0. 0. 0. 0.],[1. 0. 1. 0. 1. 0.],[  3. -10.   3.  -2.   3.  -2.],[-4.  2. -1. -1. -1.  0.  4. -1.  1.  3. 11. -1. -6.  2. -2. -5. -1.  0.]
51,0,[26. 10. 22. 61. 40. 19.],[0. 0. 0. 0. 0. 0.],[1. 0. 1. 0. 1. 0.],[  3. -10.   3.  -2.   3.  -2.],[-4.  2. -1. -1.  0.  0.  5. -1.  1.  2. 11. -1. -7.  1. -2. -4. -1.  1.]
52,0,[25.  8. 22. 60. 40. 22.],[0. 0. 0. 0. 0. 0.],[1. 0. 1. 0. 1. 0.],[  3. -10.   3.  -2.   3.  -2.],[-5.  2. -1.  0.  1.  0.  4. -2.  1.  3. 11. -1. -7.  1. -2. -4. -1.  1.]
53,0,[27.  0. 27. 60. 41. 21.],[0. 0. 0. 0. 0. 0.],[1. 0. 1. 0. 1. 0.],[  3. -10.   3.  -2.   3.  -2.],[-2.  2. -1.  0.  0.  1.  4. -1.  2.  2. 11. -1. -6.  1. -2. -4. -1.  1.]
54,0,[27.  0. 27. 58. 39. 21.],[0. 0. 0. 0. 0. 0.],[1. 0. 1. 0. 1. 0.],[  3. -10.   3.  -2.   3.  -2.],[-2.  2. -2.  1. -1.  1.  3. -1.  1.  1. 11. -1. -7.  2. -2. -4. -1.  0.]
55,0,[26.  0. 26. 56. 40. 20.],[0. 0. 0. 0. 0. 0.],[1. 0. 1. 0. 1. 0.],[  3. -10.   3.  -2.   3.  -2.],[-3.  2. -2.  2. -1.  2.  4. -2.  1.  1. 11.  0. -5.  2. -1. -4. -2.  0.]
56,0,[26.  0. 26. 51. 38. 21.],[0. 0. 0. 0. 0. 0.],[1. 0. 1. 0. 1. 0.],[  3. -10.   3.  -2.   3.  -2.],[-2.  2. -2.  2. -1.  1.  3. -1.  2.  1. 12.  0. -5.  1. -1. -5. -2.  0.]
57,0,[24.  5. 25. 50. 35. 23.],[0. 0. 0. 0. 0. 0.],[1. 0. 1. 0. 1. 0.],[  3. -10.   3.  -2.   3.  -2.],[-2.  2. -2.  4. -1.  1.  4.  0.  2.  0. 11.  1. -4.  2. -1. -4.  0.  2.]
58,0,[25. 18. 20. 45. 33. 17.],[0. 0. 0. 0. 0. 0.],[1. 0. 1. 0. 1. 0.],[  3. -10.   3.  -2.   3.  -2.],[-2.  3. -2.  5. -1.  1.  4. -1.  1. -1. 11.  0. -4.  1. -1. -4. -1.  0.]
59,0,[26. 22. 21. 45. 28. 17.],[0. 0. 0. 0. 0. 0.],[1. 0. 1. 0. 1. 0.],[  3. -10.   3.  -2.   3.  -2.],[-1.  3. -2.  5. -1.  0.  3. -1.  0. -1. 11.  0. -3.  2. -2. -4. -2.  1.]
60,0,[25. 20. 14. 45. 27. 17.],[0. 0. 0. 0. 0. 0.],[1. 0. 1. 0. 1. 0.],[  3. -10.   3.  -2.   3.  -2.],[-2.  3. -2.  6. -1.  1.  4. -1.  0. -2. 11.  0. -2.  1.  0. -3. -2.  0.]
61,0,[26. 24. 15. 44. 19. 15.],[0. 0. 0. 0. 0. 0.],[1. 0. 1. 0. 1. 0.],[  3. -10.   3.  -2.   3.  -2.],[-2.  2. -1.  6. -1.  1.  4. -2.  2. -2. 11.  1. -3.  2. -1. -4. -2.  1.]
62,0,[25. 26. 20. 50. 18. 22.],[0. 0. 0. 0. 0. 0.],[1. 0. 1. 0. 1. 0.],[  3. -10.   3.  -2.   3.  -2.],[-1.  3. -2.  7.  1.  1.  4. -1.  2. -3. 11.  0. -3.  1. -1. -3. -1.  1.]
63,0,[24. 24. 20. 52. 17. 21.],[0. 0. 0. 0. 0. 0.],[1. 0. 1. 0. 1. 0.],[  3. -10.   3.  -2.   3.  -2.],[-2.  2. -2.  8.  1.  1.  4. -3.  2. -3. 11.  1. -4.  2. -1. -5. -2.  2.]
64,0,[24. 31. 23. 54. 18. 22.],[0. 0. 0. 0. 0. 0.],[1. 0. 1. 0. 1. 0.],[  3. -10.   3.  -2.   3.  -2.],[-2.  2. -2.  8.  2.  1.  5. -3.  2. -4. 11.  1. -5.  2. -1. -5. -2.  2.]
65,0,[23. 33. 34. 56. 26. 30.],[0. 0. 0. 0. 0. 0.],[1. 0. 1. 0. 1. 0.],[  3. -10.   3.  -2.   3.  -2.],[-3.  2. -1.  9.  2.  1.  4. -2.  2. -4. 11.  1. -4.  2.  0. -5. -2.  2.]
66,0,[24. 42. 34. 58. 23. 32.],[0. 0. 0. 0. 0. 0.],[1. 0. 1. 0. 1. 0.],[  3. -10.   3.  -2.   3.  -2.],[-2.  2. -2. 10.  3.  0.  4. -2.  2. -6. 11.  1. -5.  2. -1. -4. -3.  1.]
67,0,[24. 43. 35. 65. 26. 35.],[0. 0. 0. 0. 0. 0.],[1. 0. 1. 0. 1. 0.],[  3. -10.   3.  -2.   3.  -2.],[-2.  2. -1. 11.  2.  1.  4. -2.  3. -6. 11.  1. -5.  2.  0. -3. -2.  2.]
68,0,[23. 47. 35. 68. 27. 33.],[0. 0. 0. 0. 0. 0.],[1. 0. 1. 0. 1. 0.],[  3. -10.   3.  -2.   3.  -2.],[-2.  2. -1. 11.  2.  0.  5. -1.  2. -6. 11.  0. -5.  2.  0. -4. -2.  2.]
69,0,[22. 50. 33. 66. 27. 32.],[0. 0. 0. 0. 0. 0.],[1. 0. 1. 0. 1. 0.],[  3. -10.   3.  -2.   3.  -2.],[-3.  2. -1. 13.  1.  0.  5. -2.  2. -7. 11.  0. -3.  2.  0. -5. -2.  2.]
70,0,[22. 53. 34. 69. 26. 32.],[0. 0. 0. 0. 0. 0.],[1. 0. 1. 0. 1. 0.],[  3. -10.   3.  -2.   3.  -2.],[-3.  2. -1. 12.  1.  0.  4. -2.  3. -7. 11.  1. -4.  2.  0. -5. -2.  1.]
71,0,[22. 53. 35. 70. 25. 32.],[0. 0. 0. 0. 0. 0.],[1. 0. 1. 0. 1. 0.],[  3. -10.   3.  -2.   3.  -2.],[-1.  2. -1. 13.  2. -1.  4. -2.  2. -8. 11.  0. -5.  1. -1. -3. -3.  1.]
72,0,[21. 55. 34. 72. 24. 32.],[0. 0. 0. 0. 0. 0.],[1. 0. 1. 0. 1. 0.],[  3. -10.   3.  -2.   3.  -2.],[-2.  1. -1. 15.  2. -1.  4. -1.  1. -9. 11.  1. -4.  2.  0. -4. -1.  1.]
73,0,[20. 59. 32. 75. 23. 30.],[0. 0. 0. 0. 0. 0.],[1. 0. 1. 0. 1. 0.],[  3. -10.   3.  -2.   3.  -2.],"[ -2.   1.  -1.  15.   3.  -1.   4.  -1.   2. -10.  11.   1.  -4.   1.
  -1.  -3.  -2.   2.]"
74,0,[18. 63. 30. 78. 23. 28.],[0. 0. 0. 0. 0. 0.],[1. 0. 1. 0. 1. 0.],[  3. -10.   3.  -2.   3.  -2.],"[ -2.   1.   0.  16.   2.  -2.   3.  -2.   2. -10.  10.   1.  -4.   2.
  -1.  -3.  -1.   1.]"
75,0,[12. 73. 28. 80. 23. 25.],[0. 0. 0. 0. 0. 0.],[1. 0. 1. 0. 1. 0.],[  3. -10.   3.  -2.   3.  -2.],[-1.  1. -2. 16.  3. -2.  3. -3.  2. -9. 11.  1. -3.  2. -1. -3. -1.  1.]
76,0,[11. 78. 28. 85. 22. 23.],[0. 0. 0. 0. 0. 0.],[1. 0. 1. 0. 1. 0.],[  3. -10.   3.  -2.   3.  -2.],"[ -1.   3.  -2.  16.   3.  -2.   3.  -2.   2. -10.  11.   1.  -4.   2.
  -1.  -3.  -2.   2.]"
77,0,[12. 81. 29. 86. 26. 24.],[0. 0. 0. 0. 0. 0.],[1. 0. 1. 0. 1. 0.],[  3. -10.   3.  -2.   3.  -2.],[ 0.  2. -2. 17.  2. -2.  3. -2.  2. -9. 11.  1. -3.  1. -1. -3. -2.  1.]
78,0,[ 7. 83. 29. 85. 25. 23.],[0. 0. 0. 0. 0. 0.],[1. 0. 1. 0. 1. 0.],[  3. -10.   3.  -2.   3.  -2.],[ 0.  3. -3. 16.  3. -3.  3. -2.  3. -9. 10.  1. -4.  2.  0. -3. -1.  1.]
79,0,[18. 85. 30. 84. 21. 23.],[0. 0. 0. 0. 0. 0.],[1. 0. 1. 0. 1. 0.],[  3. -10.   3.  -2.   3.  -2.],[ 0.  3. -3. 16.  3. -2.  3. -2.  2. -9. 11.  1. -4.  1. -1. -2. -2.  0.]
