Chiptime	ax(g)	ay(g)	az(g)	wx(deg/s)	wy(deg/s)	wz(deg/s)	AngleX(deg)	AngleY(deg)	AngleZ(deg)	T(°)	magx	magy	magz	lon	lat	Yaw	Speed	q1	q2	q3	q4
 2000-0-0 0:2:5.100	-0.5298	-0.1421	0.8354	0.0	0.0	0.0	-9.338	32.146	-3.093	28.57	None	None	None	None	None	None	None	0.95798	-0.07349	0.2771	-0.00262
 2000-0-0 0:2:5.120	-0.5308	-0.1416	0.835	0.0	0.0	0.0	-9.338	32.146	-3.093	28.61	None	None	None	None	None	None	None	0.95798	-0.07349	0.2771	-0.00262
 2000-0-0 0:2:5.140	-0.5317	-0.1411	0.8345	0.0	0.0	0.0	-9.338	32.146	-3.093	28.56	None	None	None	None	None	None	None	0.95798	-0.07349	0.2771	-0.00262
 2000-0-0 0:2:5.160	-0.5303	-0.1426	0.8359	0.0	0.0	0.0	-9.338	32.146	-3.093	28.58	None	None	None	None	None	None	None	0.95798	-0.07349	0.2771	-0.00262
 2000-0-0 0:2:5.180	-0.5298	-0.1421	0.8359	0.0	0.0	0.0	-9.338	32.146	-3.093	28.57	None	None	None	None	None	None	None	0.95798	-0.07349	0.2771	-0.00262
 2000-0-0 0:2:5.200	-0.5298	-0.1416	0.835	0.0	0.0	0.0	-9.338	32.146	-3.093	28.52	None	None	None	None	None	None	None	0.95798	-0.07349	0.2771	-0.00262
 2000-0-0 0:2:5.220	-0.5308	-0.1416	0.835	0.0	0.0	0.0	-9.338	32.146	-3.093	28.58	None	None	None	None	None	None	None	0.95798	-0.07349	0.2771	-0.00262
 2000-0-0 0:2:5.240	-0.5308	-0.1421	0.835	0.0	0.0	0.0	-9.338	32.146	-3.093	28.54	None	None	None	None	None	None	None	0.95798	-0.07349	0.2771	-0.00262
 2000-0-0 0:2:5.260	-0.5308	-0.1421	0.8345	0.0	0.0	0.0	-9.338	32.146	-3.093	28.57	None	None	None	None	None	None	None	0.95798	-0.07349	0.2771	-0.00262
 2000-0-0 0:2:5.280	-0.5312	-0.1416	0.834	0.0	0.0	0.0	-9.338	32.146	-3.093	28.52	None	None	None	None	None	None	None	0.95798	-0.07349	0.2771	-0.00262
 2000-0-0 0:2:5.300	-0.5298	-0.1421	0.8345	0.0	0.0	0.0	-9.338	32.146	-3.093	28.55	None	None	None	None	None	None	None	0.95798	-0.07346	0.2771	-0.00262
 2000-0-0 0:2:5.320	-0.5298	-0.1426	0.8354	0.0	0.0	0.0	-9.338	32.146	-3.093	28.58	None	None	None	None	None	None	None	0.95798	-0.07349	0.2771	-0.00262
 2000-0-0 0:2:5.340	-0.5303	-0.1416	0.8354	0.0	0.0	0.0	-9.338	32.146	-3.093	28.57	None	None	None	None	None	None	None	0.95798	-0.07349	0.2771	-0.00262
 2000-0-0 0:2:5.360	-0.5293	-0.1426	0.8354	0.0	0.0	0.0	-9.338	32.146	-3.093	28.57	None	None	None	None	None	None	None	0.95798	-0.07349	0.2771	-0.00262
 2000-0-0 0:2:5.380	-0.5303	-0.1426	0.8369	0.0	0.0	0.0	-9.338	32.146	-3.093	28.57	None	None	None	None	None	None	None	0.95798	-0.07349	0.2771	-0.00262
 2000-0-0 0:2:5.400	-0.5298	-0.1411	0.835	0.0	0.0	0.0	-9.338	32.146	-3.093	28.56	None	None	None	None	None	None	None	0.95798	-0.07349	0.2771	-0.00262
 2000-0-0 0:2:5.420	-0.5303	-0.1406	0.833	0.0	0.0	0.0	-9.338	32.146	-3.093	28.55	None	None	None	None	None	None	None	0.95798	-0.07349	0.2771	-0.00262
 2000-0-0 0:2:5.440	-0.5327	-0.1416	0.835	0.0	0.0	0.0	-9.338	32.146	-3.093	28.56	None	None	None	None	None	None	None	0.95798	-0.07349	0.2771	-0.00262
 2000-0-0 0:2:5.460	-0.5312	-0.1421	0.8345	0.0	0.0	0.0	-9.338	32.146	-3.093	28.59	None	None	None	None	None	None	None	0.95798	-0.07346	0.2771	-0.00262
 2000-0-0 0:2:5.480	-0.5308	-0.1416	0.8345	0.0	0.0	0.0	-9.338	32.146	-3.093	28.58	None	None	None	None	None	None	None	0.95798	-0.07346	0.2771	-0.00262
 2000-0-0 0:2:5.500	-0.5264	-0.1426	0.834	0.0	-0.1831	0.0	-9.338	32.146	-3.093	28.57	None	None	None	None	None	None	None	0.95798	-0.07346	0.2771	-0.00259
 2000-0-0 0:2:5.520	-0.5259	-0.144	0.8384	0.0	-0.1831	0.0	-9.338	32.141	-3.093	28.59	None	None	None	None	None	None	None	0.95801	-0.07346	0.27704	-0.00259
 2000-0-0 0:2:5.540	-0.5303	-0.1455	0.8428	0.0	-0.061	0.0	-9.338	32.13	-3.087	28.54	None	None	None	None	None	None	None	0.95801	-0.07349	0.27698	-0.00259
 2000-0-0 0:2:5.560	-0.5264	-0.1421	0.834	0.0	0.061	0.0	-9.338	32.13	-3.087	28.59	None	None	None	None	None	None	None	0.95801	-0.07349	0.27698	-0.00259
 2000-0-0 0:2:5.580	-0.5303	-0.1401	0.833	0.0	0.2441	0.0	-9.338	32.135	-3.093	28.57	None	None	None	None	None	None	None	0.95801	-0.07349	0.27701	-0.00259
 2000-0-0 0:2:5.600	-0.5327	-0.1421	0.8335	-0.061	0.3052	0.0	-9.344	32.146	-3.093	28.57	None	None	None	None	None	None	None	0.95798	-0.07349	0.2771	-0.00259
 2000-0-0 0:2:5.620	-0.5327	-0.1416	0.834	0.0	0.1831	0.0	-9.344	32.157	-3.093	28.57	None	None	None	None	None	None	None	0.95795	-0.07352	0.27719	-0.00262
 2000-0-0 0:2:5.640	-0.5303	-0.1396	0.8301	0.0	0.0	0.0	-9.344	32.162	-3.093	28.59	None	None	None	None	None	None	None	0.95795	-0.07352	0.27722	-0.00262
 2000-0-0 0:2:5.660	-0.5303	-0.1416	0.8345	0.0	-0.2441	0.0	-9.344	32.157	-3.093	28.57	None	None	None	None	None	None	None	0.95795	-0.07349	0.27719	-0.00262
 2000-0-0 0:2:5.680	-0.5293	-0.144	0.8374	0.0	-0.3052	0.0	-9.344	32.146	-3.093	28.58	None	None	None	None	None	None	None	0.95798	-0.07349	0.27707	-0.00259
 2000-0-0 0:2:5.700	-0.5293	-0.1426	0.8369	0.061	-0.2441	0.0	-9.338	32.135	-3.087	28.59	None	None	None	None	None	None	None	0.95801	-0.07349	0.27698	-0.00259
 2000-0-0 0:2:5.720	-0.5278	-0.1426	0.8354	0.0	0.0	0.0	-9.338	32.13	-3.087	28.58	None	None	None	None	None	None	None	0.95801	-0.07346	0.27695	-0.00259
 2000-0-0 0:2:5.740	-0.5293	-0.1436	0.8369	0.0	0.1831	0.0	-9.338	32.13	-3.087	28.57	None	None	None	None	None	None	None	0.95801	-0.07349	0.27698	-0.00259
 2000-0-0 0:2:5.760	-0.5312	-0.1431	0.8364	0.0	0.3052	0.0	-9.344	32.141	-3.093	28.55	None	None	None	None	None	None	None	0.95798	-0.07349	0.27704	-0.00259
 2000-0-0 0:2:5.780	-0.5298	-0.1411	0.8325	0.0	0.3052	0.0	-9.344	32.151	-3.093	28.56	None	None	None	None	None	None	None	0.95795	-0.07352	0.27716	-0.00262
 2000-0-0 0:2:5.800	-0.5312	-0.1411	0.833	0.0	0.061	0.0	-9.349	32.162	-3.093	28.6	None	None	None	None	None	None	None	0.95795	-0.07352	0.27722	-0.00262
 2000-0-0 0:2:5.820	-0.5322	-0.1411	0.8345	0.0	-0.1221	0.0	-9.344	32.157	-3.093	28.57	None	None	None	None	None	None	None	0.95795	-0.07352	0.27719	-0.00262
 2000-0-0 0:2:5.840	-0.5308	-0.1406	0.8345	0.0	-0.2441	0.0	-9.344	32.151	-3.093	28.57	None	None	None	None	None	None	None	0.95798	-0.07352	0.2771	-0.00259
