count,sum_leg,reflex,on_reflex_,traj_error
103,[ 0.  4.  0. 19.  8.  4.],[0. 0. 0. 0. 0. 0.],[1. 1. 1. 1. 1. 1.],[-2. -1.  0. -1.  0.  1.  0.  0. -2.  2. -1.  1. -1. -2.  1. -1. -1.  1.]
104,[10.  8.  7. 18.  8.  9.],[0. 0. 0. 0. 0. 0.],[1. 1. 1. 1. 1. 1.],[-2. -1.  0.  0.  1. -1. -1.  1. -3.  2. -1.  2. -1. -2.  0. -1. -1.  0.]
105,[11.  0.  9. 19. 12.  4.],[0. 0. 0. 0. 0. 0.],[1. 1. 1. 1. 1. 1.],[-1.  0.  0.  0.  1. -1.  0.  0. -1.  2. -1.  2. -1. -2.  1. -1. -1.  0.]
106,[ 7.  0.  8. 19. 12.  8.],[0. 0. 0. 0. 0. 0.],[1. 1. 1. 1. 1. 1.],[-1. -1.  0.  0.  1.  0.  1.  1. -1.  2. -1.  2. -1. -2.  1. -1. -1.  0.]
107,[ 6.  0.  7. 19. 12.  8.],[0. 0. 0. 0. 0. 0.],[1. 1. 1. 1. 1. 1.],[-1. -1.  0.  0.  2.  0.  0.  1. -1.  2. -1.  2. -1. -2.  1. -1. -1.  1.]
108,[ 5.  5.  6. 20. 12.  8.],[0. 0. 0. 0. 0. 0.],[1. 1. 1. 1. 1. 1.],[-1.  0.  0.  0. -1.  0.  0.  3. -1.  1. -1.  2. -2. -2.  0.  0. -1.  0.]
109,[ 4.  0.  4. 19. 13.  4.],[0. 0. 0. 0. 0. 0.],[1. 1. 1. 1. 1. 1.],[ 0. -1.  1.  0.  0.  1.  0.  3.  0.  2. -1.  1. -3. -2.  1. -1. -2.  1.]
110,[ 0.  0.  8. 18. 15.  5.],[0. 0. 0. 0. 0. 0.],[1. 1. 1. 1. 1. 1.],[ 0. -1.  0.  0. -2.  1.  0.  4.  1.  2.  0.  1. -1. -2.  1.  0. -1.  1.]
111,[ 0.  0. 11. 13. 15.  5.],[0. 0. 0. 0. 0. 0.],[1. 1. 1. 1. 1. 1.],[-1. -1.  0.  0. -1.  1.  0.  5.  2.  1.  0.  1. -1. -2.  0. -1. -1.  1.]
112,[ 0.  0. 15. 11. 15.  5.],[0. 0. 0. 0. 0. 0.],[1. 1. 1. 1. 1. 1.],[ 0. -1.  1. -1. -2.  2.  0.  4.  1.  1.  0.  1. -1. -2.  0.  0. -1.  1.]
113,[ 4.  5. 16. 10. 14.  9.],[0. 0. 0. 0. 0. 0.],[1. 1. 1. 1. 1. 1.],[ 1. -1.  0.  0. -2.  1. -1.  5. -2.  1.  0.  1.  0. -2.  0.  0.  0.  0.]
114,[ 4. 12. 18.  9.  8.  0.],[0. 0. 0. 0. 0. 0.],[1. 1. 1. 1. 1. 1.],[ 1. -1.  1.  0. -2.  2. -1.  5. -1.  1.  0.  1. -1. -2.  0.  0. -1.  0.]
115,[ 4. 13. 19.  8.  8.  0.],[0. 0. 0. 0. 0. 0.],[1. 1. 1. 1. 1. 1.],[ 1. -1.  1.  0. -3.  2. -1.  6. -2.  1. -1.  1.  0. -2.  0.  0. -1.  0.]
116,[ 4. 16. 20.  8.  8.  0.],[0. 0. 0. 0. 0. 0.],[1. 1. 1. 1. 1. 1.],[ 0. -1.  0.  0. -3.  2. -1.  5. -2.  1. -1.  1.  0. -2.  0. -1. -1.  1.]
117,[ 4. 17. 32.  8.  8.  0.],[0. 0. 0. 0. 0. 0.],[1. 1. 1. 1. 1. 1.],[ 1. -1.  1.  0. -3.  3. -2.  6. -3.  1.  1.  1. -1. -3.  1.  0. -1.  1.]
118,[ 4. 20. 35.  8.  9.  4.],[0. 0. 0. 0. 0. 0.],[1. 1. 1. 1. 1. 1.],[ 1. -1.  1.  0. -3.  3. -1.  8. -4.  0.  0.  1. -1. -2.  1.  0. -1.  0.]
119,[ 4. 22. 41.  4.  9.  4.],[0. 0. 0. 0. 0. 0.],[1. 1. 1. 1. 1. 1.],[ 0. -1.  0.  0. -3.  2. -2.  8. -6.  1.  0.  2.  0. -3.  1.  0. -1.  0.]
120,[ 4. 22. 48.  5. 10.  4.],[0. 0. 0. 0. 0. 0.],[1. 1. 1. 1. 1. 1.],[ 0. -1.  0.  0. -4.  3. -2.  8. -6.  1.  1.  2. -1. -2.  0.  0. -1.  0.]
121,[ 4. 24. 56.  6. 10.  4.],[0. 0. 0. 0. 0. 0.],[1. 1. 1. 1. 1. 1.],[ 0. -1.  1.  0. -5.  3. -2.  7. -6.  1.  1.  1. -1. -3.  2. -1.  0.  0.]
