count,sum_leg,reflex,on_reflex_,traj_error
976,[  26. 1030.    7.  320.  172.    0.],[0. 1. 0. 1. 1. 0.],[1. 1. 1. 1. 1. 1.],"[  -5.    1.    1.   -1.  128. -128.    0.    0.    0.   -4.   45.  -31.
   -3.   19.  -21.    0.    0.    0.]"
977,[  26. 1028.    0.  319.  172.    0.],[0. 1. 0. 1. 1. 0.],[1. 1. 1. 1. 1. 1.],"[  -5.    1.    1.   -1.  128. -128.   -1.    0.    0.   -5.   44.  -31.
   -2.   20.  -21.   -1.   -1.    0.]"
978,[  29. 1026.    0.  319.  173.    0.],[0. 1. 0. 1. 1. 0.],[1. 1. 1. 1. 1. 1.],"[  -5.    2.    1.   -2.  128. -127.   -1.    0.    0.   -3.   45.  -31.
   -2.   20.  -21.   -1.   -1.    0.]"
979,[  29. 1024.    0.  319.  173.    0.],[0. 1. 0. 1. 1. 0.],[1. 1. 1. 1. 1. 1.],"[  -4.    1.    0.    0.  127. -127.    0.    0.    1.   -4.   45.  -31.
   -1.   20.  -21.   -1.    0.    0.]"
980,[  24. 1021.    0.  319.  171.    0.],[0. 1. 0. 1. 1. 0.],[1. 1. 1. 1. 1. 1.],"[   0.    1.    1.    1.  127. -127.   -3.    0.    0.   -7.   45.  -31.
    0.   20.  -21.    1.    0.   -1.]"
981,[   5. 1019.    0.  322.  164.    0.],[0. 1. 0. 1. 1. 0.],[1. 1. 1. 1. 1. 1.],"[  -2.    1.    1.    1.  126. -126.   -2.    1.    0.   -6.   45.  -31.
   -1.   19.  -21.    1.    0.    0.]"
982,[   5. 1015.    0.  324.  163.    0.],[0. 1. 0. 1. 1. 0.],[1. 1. 1. 1. 1. 1.],"[  -1.    1.    1.    0.  126. -125.   -2.    0.    0.   -6.   44.  -31.
   -1.   20.  -21.    1.    0.    0.]"
983,[   4. 1011.    0.  326.  163.    0.],[0. 1. 0. 1. 1. 0.],[1. 1. 1. 1. 1. 1.],"[  -1.    1.    1.    0.  125. -125.   -1.    0.    0.   -5.   45.  -31.
   -1.   20.  -21.    1.    0.    0.]"
984,[   8. 1007.    8.  327.  163.    4.],[0. 1. 0. 1. 1. 0.],[1. 1. 1. 1. 1. 1.],"[   1.    2.    1.    0.  125. -124.   -1.    0.    0.   -6.   44.  -31.
    0.   20.  -21.    0.    0.   -1.]"
985,[   9. 1002.    6.  325.  163.    0.],[0. 1. 0. 1. 1. 0.],[1. 1. 1. 1. 1. 1.],"[   2.    1.    1.    0.  124. -125.   -1.   -1.    0.   -6.   45.  -31.
    0.   20.  -21.   -1.    0.    0.]"
986,[  9. 999.   5. 325. 164.   0.],[0. 1. 0. 1. 1. 0.],[1. 1. 1. 1. 1. 1.],"[   1.    1.    1.    0.  124. -125.   -1.    0.    0.   -7.   45.  -31.
   -1.   20.  -21.    0.    0.    1.]"
987,[  9. 997.   4. 327. 164.   0.],[0. 1. 0. 1. 1. 0.],[1. 1. 1. 1. 1. 1.],"[   1.    1.    1.    0.  123. -123.    0.    0.   -1.   -8.   45.  -31.
    0.   18.  -21.    0.    0.    0.]"
988,[ 14. 993.   0. 330. 162.   0.],[0. 1. 0. 1. 1. 0.],[1. 1. 1. 1. 1. 1.],"[   2.    1.    1.    2.  123. -124.   -2.    0.    0.  -12.   45.  -30.
    2.   20.  -21.    2.    0.    0.]"
989,[ 14. 991.   0. 336. 162.   0.],[0. 1. 0. 1. 1. 0.],[1. 1. 1. 1. 1. 1.],"[   1.    1.    1.    2.  123. -123.   -2.    0.   -1.  -10.   45.  -30.
    1.   20.  -22.    1.    0.    0.]"
990,[ 13. 988.   0. 339. 163.   0.],[0. 1. 0. 1. 1. 0.],[1. 1. 1. 1. 1. 1.],"[   1.    1.    1.    1.  122. -123.   -2.    0.   -1.  -10.   45.  -30.
    3.   20.  -21.    2.    0.    1.]"
991,[ 13. 984.   0. 341. 163.   0.],[0. 1. 0. 1. 1. 0.],[1. 1. 1. 1. 1. 1.],"[   1.    0.    1.    1.  122. -123.   -1.    0.    0.  -11.   45.  -30.
    2.   18.  -21.    2.    0.    0.]"
992,[  9. 989.   7. 343. 171.   7.],[0. 1. 0. 1. 1. 0.],[1. 1. 1. 1. 1. 1.],"[   1.    0.    1.    1.  121. -122.   -1.    0.   -1.  -10.   45.  -30.
    2.   19.  -21.    2.    0.    0.]"
993,[  8. 984.   6. 341. 170.   7.],[0. 1. 0. 1. 1. 0.],[1. 1. 1. 1. 1. 1.],"[   0.    0.    1.    1.  121. -120.   -1.   -1.    0.  -11.   44.  -31.
    3.   19.  -21.    3.    0.    0.]"
994,[  4. 978.   5. 342. 170.   9.],[0. 1. 0. 1. 1. 0.],[1. 1. 1. 1. 1. 1.],"[  -1.    1.    1.    1.  120. -120.    0.    0.    0.  -11.   45.  -31.
    2.   19.  -21.    2.    0.    0.]"
995,[  4. 973.   0. 344. 168.   9.],[0. 1. 0. 1. 1. 0.],[1. 1. 1. 1. 1. 1.],"[   0.    1.    0.    0.  120. -119.   -1.    0.   -1.   -9.   45.  -30.
    2.   20.  -20.    1.    0.    0.]"
996,[  0. 963.   0. 342. 169.   8.],[0. 1. 0. 1. 1. 0.],[1. 1. 1. 1. 1. 1.],"[   0.    0.    1.    0.  119. -119.    0.    0.   -1.   -9.   44.  -30.
    2.   20.  -21.    1.    0.   -1.]"
997,[  0. 958.   0. 340. 170.   7.],[0. 1. 0. 1. 1. 0.],[1. 1. 1. 1. 1. 1.],"[  -1.    0.    0.    0.  118. -117.   -1.    0.    0.  -10.   45.  -30.
    2.   19.  -20.    1.    0.    0.]"
998,[  0. 952.   0. 339. 168.   5.],[0. 1. 0. 1. 1. 0.],[1. 1. 1. 1. 1. 1.],"[  -1.    1.    0.    0.  117. -117.    0.    0.   -1.   -8.   44.  -30.
    1.   19.  -21.    0.   -1.    0.]"
999,[  0. 946.   0. 334. 167.   0.],[0. 1. 0. 1. 1. 0.],[1. 1. 1. 1. 1. 1.],"[  -2.    1.    1.    0.  117. -116.   -1.    0.    0.   -8.   45.  -30.
    0.   19.  -20.   -1.    0.    0.]"
1000,[  0. 940.   0. 333. 159.   0.],[0. 1. 0. 1. 1. 0.],[1. 1. 1. 1. 1. 1.],"[  -1.    0.    1.    0.  117. -116.    0.    0.    0.   -9.   44.  -30.
    2.   20.  -21.   -2.    0.    0.]"
1001,[  5. 935.   0. 333. 159.   0.],[0. 1. 0. 1. 1. 0.],[1. 1. 1. 1. 1. 1.],"[  -2.    1.    3.   -1.  115. -116.   -1.   -1.    0.   -9.   45.  -30.
    0.   19.  -21.   -3.    0.    0.]"
1002,[  6. 931.   0. 332. 160.   0.],[0. 1. 0. 1. 1. 0.],[1. 1. 1. 1. 1. 1.],"[  -2.    1.    2.   -1.  114. -115.   -1.    0.    1.   -9.   45.  -31.
    0.   19.  -21.   -2.    0.    0.]"
1003,[ 14. 926.   0. 335. 160.   8.],[0. 1. 0. 1. 1. 0.],[1. 1. 1. 1. 1. 1.],"[  -2.    1.    2.   -1.  114. -113.   -1.    0.    0.  -10.   44.  -30.
    0.   20.  -20.   -2.    0.    0.]"
1004,[ 15. 920.   0. 336. 161.   9.],[0. 1. 0. 1. 1. 0.],[1. 1. 1. 1. 1. 1.],"[  -3.    1.    3.    0.  113. -113.   -1.   -1.   -1.   -9.   44.  -31.
    1.   20.  -21.   -2.    0.    1.]"
1005,[ 23. 913.   4. 337. 161.   9.],[0. 1. 0. 1. 1. 0.],[1. 1. 1. 1. 1. 1.],"[  -2.    2.    3.    0.  112. -112.    0.    0.    0.  -10.   44.  -30.
    1.   19.  -21.   -2.    0.    1.]"
1006,[ 24. 906.   0. 337. 161.   8.],[0. 1. 0. 1. 1. 0.],[1. 1. 1. 1. 1. 1.],"[  -2.    1.    3.   -1.  112. -112.    0.   -1.    0.  -11.   44.  -31.
    0.   19.  -20.   -1.    0.    1.]"
1007,[ 25. 901.   0. 338. 160.   7.],[0. 1. 0. 1. 1. 0.],[1. 1. 1. 1. 1. 1.],"[  -3.    1.    2.   -1.  111. -111.    0.   -1.    0.   -9.   44.  -30.
    0.   20.  -21.   -1.    0.    0.]"
1008,[ 26. 896.   0. 337. 161.   6.],[0. 1. 0. 1. 1. 0.],[1. 1. 1. 1. 1. 1.],"[  -2.    1.    2.   -1.  109. -109.    0.    0.    0.   -8.   44.  -31.
    0.   19.  -21.   -2.   -1.    1.]"
1009,[ 24. 888.   0. 336. 160.   6.],[0. 1. 0. 1. 1. 0.],[1. 1. 1. 1. 1. 1.],"[  -3.    2.    1.   -2.  108. -109.    1.    0.    0.   -8.   45.  -30.
    0.   20.  -20.   -1.    0.    0.]"
1010,[ 23. 886.   0. 335. 160.   5.],[0. 1. 0. 1. 1. 0.],[1. 1. 1. 1. 1. 1.],"[  -3.    1.    1.   -1.  108. -107.    0.    0.    0.   -8.   44.  -30.
    0.   20.  -21.   -1.   -1.    0.]"
1011,[ 22. 877.   0. 331. 162.   5.],[0. 1. 0. 1. 1. 0.],[1. 1. 1. 1. 1. 1.],"[  -2.    1.    1.   -1.  107. -106.    0.    0.    0.   -9.   44.  -30.
    0.   19.  -20.   -1.    0.    1.]"
1012,[ 20. 868.   0. 331. 160.   5.],[0. 1. 0. 1. 1. 0.],[1. 1. 1. 1. 1. 1.],"[  -3.    1.    1.   -1.  106. -106.   -1.    0.    0.   -8.   44.  -31.
    0.   19.  -20.   -1.    0.    1.]"
1013,[ 20. 862.   0. 331. 159.   4.],[0. 1. 0. 1. 1. 0.],[1. 1. 1. 1. 1. 1.],"[  -3.    1.    0.    0.  105. -104.    0.    0.    0.   -9.   44.  -30.
    1.   19.  -20.   -1.    0.    1.]"
1014,[ 15. 849.   0. 331. 158.   4.],[0. 1. 0. 1. 1. 0.],[1. 1. 1. 1. 1. 1.],"[  -3.    1.    0.   -1.  104. -103.   -1.    0.    1.   -9.   44.  -30.
    0.   20.  -20.   -1.    0.    0.]"
1015,[ 15. 841.   0. 332. 157.   4.],[0. 1. 0. 1. 1. 0.],[1. 1. 1. 1. 1. 1.],"[  -3.    1.   -1.   -1.  103. -102.    0.   -1.    0.   -9.   44.  -29.
    1.   20.  -20.   -1.   -1.    0.]"
1016,[ 16. 833.   0. 331. 158.   4.],[0. 1. 0. 1. 1. 0.],[1. 1. 1. 1. 1. 1.],"[  -3.    1.   -1.   -1.  102. -102.   -1.    0.    0.   -9.   45.  -30.
    0.   19.  -21.   -2.   -1.    0.]"
1017,[ 16. 825.   0. 332. 159.   5.],[0. 1. 0. 1. 1. 0.],[1. 1. 1. 1. 1. 1.],"[  -3.    1.   -1.    0.  101. -101.    0.    0.    1.  -10.   44.  -29.
    2.   20.  -21.    0.    0.    1.]"
1018,[ 16. 818.   0. 332. 161.   0.],[0. 1. 0. 1. 1. 0.],[1. 1. 1. 1. 1. 1.],"[  -3.    1.   -1.   -1.  100. -100.    1.    0.    0.  -10.   44.  -29.
    1.   19.  -20.   -1.    0.    0.]"
1019,[ 20. 811.   0. 332. 160.   0.],[0. 1. 0. 1. 1. 0.],[1. 1. 1. 1. 1. 1.],"[ -4.   1.   0.  -2.  97. -97.   2.  -1.   0.  -9.  44. -30.  -1.  20.
 -20.  -3.  -2.   1.]"
1020,[ 17. 800.   0. 333. 160.   0.],[0. 1. 0. 1. 1. 0.],[1. 1. 1. 1. 1. 1.],"[ -5.   1.   0.  -2.  96. -96.   1.  -1.   0.  -9.  44. -30.   1.  19.
 -19.  -2.  -1.   1.]"
1021,[ 19. 788.   0. 332. 158.   0.],[0. 1. 0. 1. 1. 0.],[1. 1. 1. 1. 1. 1.],"[ -4.   1.   0.  -2.  95. -95.   1.  -1.   1.  -9.  44. -28.   1.  20.
 -20.  -2.  -1.   1.]"
1022,[ 20. 783.   5. 330. 157.   8.],[0. 1. 0. 1. 1. 0.],[1. 1. 1. 1. 1. 1.],"[ -3.   1.   0.  -1.  95. -95.   1.   0.   1. -10.  44. -29.   1.  19.
 -19.  -2.   0.   1.]"
1023,[ 20. 773.   5. 330. 156.  13.],[0. 1. 0. 1. 1. 0.],[1. 1. 1. 1. 1. 1.],"[ -3.   0.   0.  -1.  94. -94.   0.  -1.  -1. -11.  44. -29.   1.  20.
 -20.  -1.  -1.   1.]"
1024,[ 15. 766.   0. 331. 160.  11.],[0. 1. 0. 1. 1. 0.],[1. 1. 1. 1. 1. 1.],"[ -2.   0.  -1.  -2.  93. -93.   1.  -1.   0. -11.  44. -28.   2.  20.
 -20.  -1.  -1.   1.]"
1025,[ 12. 760.   0. 331. 163.  10.],[0. 1. 0. 1. 1. 0.],[1. 1. 1. 1. 1. 1.],"[ -3.   0.   1.  -2.  92. -91.   0.   0.   0. -11.  44. -28.   1.  20.
 -19.  -1.  -1.   1.]"
1026,[ 11. 753.   0. 333. 162.   9.],[0. 1. 0. 1. 1. 0.],[1. 1. 1. 1. 1. 1.],"[ -4.   0.  -1.  -2.  89. -89.   2.  -1.   1. -11.  44. -28.   0.  20.
 -19.  -3.  -2.   1.]"
1027,[ 12. 742.   0. 333. 158.  15.],[0. 1. 0. 1. 1. 0.],[1. 1. 1. 1. 1. 1.],"[ -4.   0.   0.  -3.  88. -86.   2.  -2.   2. -10.  44. -28.   0.  19.
 -19.  -2.  -1.   2.]"
1028,[ 13. 730.   0. 331. 156.  17.],[0. 1. 0. 1. 1. 0.],[1. 1. 1. 1. 1. 1.],"[ -4.   0.   0.  -3.  86. -86.   2.  -1.   1.  -9.  44. -29.  -1.  19.
 -19.  -4.  -2.   2.]"
1029,[ 15. 717.   0. 330. 154.  22.],[0. 1. 0. 1. 1. 0.],[1. 1. 1. 1. 1. 1.],"[ -5.   1.   0.  -2.  85. -85.   3.  -1.   1. -10.  44. -29.   1.  18.
 -18.  -3.  -2.   2.]"
1030,[ 17. 704.  19. 330. 151.  26.],[0. 1. 0. 1. 1. 0.],[1. 1. 1. 1. 1. 1.],"[ -4.   0.   1.  -4.  84. -84.   1.  -1.   1. -10.  44. -28.   0.  17.
 -18.  -3.  -1.   1.]"
1031,[ 17. 696.  18. 329. 147.  25.],[0. 1. 0. 1. 1. 0.],[1. 1. 1. 1. 1. 1.],"[ -2.   0.   0.  -2.  83. -83.   2.  -1.   2. -10.  44. -29.   0.  15.
 -18.  -1.  -1.   1.]"
1032,[ 15. 687.  17. 330. 142.  23.],[0. 1. 0. 1. 1. 0.],[1. 1. 1. 1. 1. 1.],"[ -3.   0.   0.  -1.  82. -82.   1.  -1.   0. -10.  44. -28.   1.  15.
 -18.  -2.  -1.   1.]"
1033,[ 14. 677.  11. 330. 137.  19.],[0. 1. 0. 1. 1. 0.],[1. 1. 1. 1. 1. 1.],"[ -3.  -1.   0.  -1.  81. -81.   1.  -1.   0. -10.  44. -28.   1.  14.
 -19.  -2.  -1.   1.]"
1034,[ 12. 668.   9. 329. 134.  16.],[0. 1. 0. 1. 1. 0.],[1. 1. 1. 1. 1. 1.],"[ -3.   0.   1.  -2.  79. -80.   1.  -1.   1. -10.  44. -28.   1.  14.
 -19.  -2.   0.   0.]"
1035,[ 11. 657.   9. 329. 132.   7.],[0. 1. 0. 1. 1. 0.],[1. 1. 1. 1. 1. 1.],"[ -2.   0.   0.  -1.  79. -79.   0.  -1.   1.  -8.  44. -28.   2.  14.
 -20.  -1.   0.   1.]"
1036,[ 11. 648.   4. 326. 138.   7.],[0. 1. 0. 1. 1. 0.],[1. 1. 1. 1. 1. 1.],"[ -3.   1.   0.  -2.  76. -76.   1.  -1.   1.  -5.  44. -28.   0.  13.
 -19.  -3.  -1.   2.]"
1037,[ 11. 637.   4. 321. 132.   8.],[0. 1. 0. 1. 1. 0.],[1. 1. 1. 1. 1. 1.],"[ -4.   0.   0.  -2.  74. -73.   2.  -2.   2.  -4.  44. -28.   0.  12.
 -19.  -3.  -2.   2.]"
1038,[ 12. 623.  10. 315. 130.   9.],[0. 1. 0. 1. 1. 0.],[1. 1. 1. 1. 1. 1.],"[ -3.   0.   0.  -2.  74. -73.   1.  -2.   1.  -4.  44. -28.   0.  12.
 -17.  -2.  -1.   2.]"
1039,[ 12. 611.  11. 309. 126.  16.],[0. 1. 0. 1. 1. 0.],[1. 1. 1. 1. 1. 1.],"[ -3.   0.   0.  -3.  72. -72.   2.  -1.   1.  -3.  44. -28.   0.  12.
 -18.  -2.  -2.   0.]"
1040,[ 13. 599.  17. 304. 122.  16.],[0. 1. 0. 1. 1. 0.],[1. 1. 1. 1. 1. 1.],"[ -2.   0.   1.  -2.  72. -70.   1.  -2.   1.  -2.  44. -28.  -1.   9.
 -14.  -3.  -1.   2.]"
1041,[ 12. 589.  18. 301. 113.  16.],[0. 1. 0. 1. 1. 0.],[1. 1. 1. 1. 1. 1.],"[ -3.   0.   1.  -1.  70. -69.   1.  -2.   1.  -2.  44. -28.   0.   8.
 -12.  -3.  -1.   1.]"
1042,[ 11. 580.  16. 299. 102.  15.],[0. 1. 0. 1. 1. 0.],[1. 1. 1. 1. 1. 1.],"[ -2.   0.  -1.  -1.  69. -69.   1.  -1.   0.  -1.  43. -28.   0.   7.
 -11.  -3.  -1.   1.]"
1043,[ 10. 570.  11. 295.  91.  16.],[0. 1. 0. 1. 0. 0.],[1. 1. 1. 1. 1. 1.],"[ -2.   0.   0.  -2.  68. -68.   1.  -1.   0.  -1.  43. -28.  -1.   6.
  -9.  -3.  -2.   0.]"
1044,[  9. 561.  10. 292.  76.  17.],[0. 1. 0. 1. 0. 0.],[1. 1. 1. 1. 1. 1.],"[ -1.   1.  -1.  -1.  66. -67.   0.  -1.   0.  -1.  43. -28.  -2.   5.
  -8.  -3.  -1.   1.]"
1045,[  8. 551.   5. 290.  66.  17.],[0. 1. 0. 1. 0. 0.],[1. 1. 1. 1. 1. 1.],"[  0.   1.   1.   0.  65. -65.   0.  -1.   0.   0.  43. -28.  -1.   3.
  -7.  -1.  -1.   1.]"
1046,[  0. 537.   4. 284.  56.  15.],[0. 1. 0. 1. 0. 0.],[1. 1. 1. 1. 1. 1.],"[  1.   1.   0.  -1.  63. -62.   2.  -1.  -1.   1.  42. -28.  -1.   4.
  -8.  -2.  -2.   3.]"
1047,[  0. 524.   4. 283.  55.  15.],[0. 1. 0. 1. 0. 0.],[1. 1. 1. 1. 1. 1.],"[  2.   1.   1.   0.  62. -61.   1.  -2.   0.   1.  41. -28.  -1.   3.
  -6.  -2.  -1.   2.]"
1048,[  4. 511.   5. 281.  49.  20.],[0. 1. 0. 1. 0. 0.],[1. 1. 1. 1. 1. 1.],"[  2.   0.   0.  -1.  61. -59.   1.  -1.   0.   0.  41. -28.  -1.   2.
  -6.  -1.  -2.   2.]"
1049,[  0. 498.   5. 279.  43.  20.],[0. 1. 0. 1. 0. 0.],[1. 1. 1. 1. 1. 1.],"[  3.   1.   0.  -1.  59. -58.   0.   0.   1.   1.  41. -28.  -1.   3.
  -5.  -1.  -2.   3.]"
1050,[  8. 485.   0. 277.  41.  23.],[0. 1. 0. 1. 0. 0.],[1. 1. 1. 1. 1. 1.],"[  3.   1.   0.  -1.  57. -57.   0.   0.   1.   2.  42. -28.  -1.   3.
  -5.  -1.  -2.   3.]"
1051,[ 10. 474.   0. 277.  37.  22.],[0. 1. 0. 1. 0. 0.],[1. 1. 1. 1. 1. 1.],"[  3.   0.   0.  -1.  56. -55.   0.  -1.   1.   1.  41. -28.   0.   3.
  -4.  -1.  -4.   3.]"
1052,[ 11. 466.   0. 277.  31.  25.],[0. 1. 0. 1. 0. 0.],[1. 1. 1. 1. 1. 1.],"[  3.   1.   1.  -1.  55. -53.   0.   0.   0.   1.  41. -28.  -1.   2.
  -5.  -1.  -3.   3.]"
1053,[ 12. 454.   0. 282.  30.  27.],[0. 1. 0. 1. 0. 0.],[1. 1. 1. 1. 1. 1.],"[  3.   0.   0.  -1.  53. -53.   0.  -1.   0.   1.  42. -28.  -1.   2.
  -4.  -1.  -4.   3.]"
1054,[ 12. 443.   0. 283.  28.  29.],[0. 1. 0. 1. 0. 0.],[1. 1. 1. 1. 1. 1.],"[  2.   0.  -1.  -1.  51. -51.   0.   0.   1.   1.  40. -29.  -1.   3.
  -4.   0.  -5.   2.]"
1055,[ 11. 431.   0. 281.  27.  27.],[0. 1. 0. 1. 0. 0.],[1. 1. 1. 1. 1. 1.],"[  2.   0.   1.   0.  49. -49.   0.  -1.  -2.   1.  41. -28.  -1.   3.
  -4.  -1.  -4.   3.]"
1056,[ 10. 414.   0. 281.  31.  27.],[0. 1. 0. 1. 0. 0.],[1. 1. 1. 1. 1. 1.],"[  1.   0.   0.  -1.  46. -48.   0.  -1.  -1.   1.  42. -28.  -1.   2.
  -5.  -1.  -5.   4.]"
1057,[  8. 400.   0. 282.  31.  30.],[0. 1. 0. 1. 0. 0.],[1. 1. 1. 1. 1. 1.],"[  1.   0.   0.   0.  44. -45.   0.   0.  -1.   1.  42. -28.  -1.   3.
  -4.  -1.  -5.   3.]"
1058,[  6. 383.   0. 282.  32.  31.],[0. 1. 0. 1. 0. 0.],[1. 1. 1. 1. 1. 1.],"[  1.   0.   1.   0.  42. -44.   0.  -1.  -1.   0.  42. -28.  -1.   3.
  -4.  -2.  -6.   4.]"
1059,[  5. 367.   5. 279.  32.  39.],[0. 1. 0. 1. 0. 0.],[1. 1. 1. 1. 1. 1.],"[  1.   0.   0.  -2.  39. -43.   0.  -1.  -1.   0.  42. -28.  -1.   2.
  -6.  -1.  -6.   3.]"
1060,[  4. 351.   4. 280.  33.  41.],[0. 1. 0. 1. 0. 0.],[1. 1. 1. 1. 1. 1.],"[  1.  -1.   0.  -1.  37. -40.   0.  -1.  -1.   0.  42. -29.  -1.   2.
  -4.  -1.  -6.   4.]"
1061,[  4. 334.   4. 281.  32.  42.],[0. 1. 0. 1. 0. 0.],[1. 1. 1. 1. 1. 1.],"[  0.  -1.   0.  -1.  35. -39.   0.   0.  -1.  -1.  42. -28.  -2.   3.
  -6.  -1.  -6.   5.]"
1062,[  0. 319.   4. 281.  35.  45.],[0. 1. 0. 1. 0. 0.],[1. 1. 1. 1. 1. 1.],"[ -2.  -1.   0.  -2.  32. -34.   0.  -2.   0.  -1.  42. -29.  -2.   2.
  -4.  -3.  -8.   6.]"
1063,[  0. 305.   0. 282.  35.  50.],[0. 1. 0. 1. 0. 0.],[1. 1. 1. 1. 1. 1.],"[ -2.  -1.   0.  -1.  30. -33.   0.  -1.   0.  -1.  42. -29.  -1.   2.
  -4.  -3.  -8.   5.]"
1064,[  4. 285.   0. 283.  33.  56.],[0. 1. 0. 1. 0. 0.],[1. 1. 1. 1. 1. 1.],"[ -2.  -1.   0.  -1.  30. -33.  -1.   0.  -1.  -2.  42. -28.  -1.   2.
  -5.  -3.  -8.   5.]"
1065,[  4. 271.   0. 287.  34.  61.],[0. 1. 0. 1. 0. 0.],[1. 1. 1. 1. 1. 1.],"[ -1.  -1.   0.  -1.  28. -32.   0.  -1.   0.  -2.  41. -28.  -2.   3.
  -4.  -2.  -9.   5.]"
1066,[ 11. 257.   0. 287.  32.  65.],[0. 1. 0. 1. 0. 0.],[1. 1. 1. 1. 1. 1.],"[ -1.  -1.   0.  -1.  26. -28.   1.  -1.   0.  -1.  42. -28.  -1.   2.
  -4.  -1. -10.   6.]"
1067,[ 10. 244.   0. 286.  31.  65.],[0. 1. 0. 1. 0. 0.],[1. 1. 1. 1. 1. 1.],"[ -2.  -1.   0.  -2.  24. -27.   1.  -2.   1.  -1.  42. -28.  -4.   2.
  -4.  -2. -11.   8.]"
1068,[ 10. 233.   0. 285.  34.  70.],[0. 1. 0. 1. 0. 0.],[1. 1. 1. 1. 1. 1.],"[ -1.  -1.   0.  -1.  21. -24.   0.  -2.   2.  -1.  42. -28.  -3.   2.
  -5.  -2. -12.   8.]"
1069,[  9. 215.   6. 284.  36.  76.],[0. 1. 0. 1. 0. 0.],[1. 1. 1. 1. 1. 1.],"[  0.  -1.   1.  -2.  20. -22.   1.  -2.   2.   0.  42. -29.  -4.   2.
  -4.  -2. -12.   8.]"
1070,[  4. 198.   7. 281.  37.  82.],[0. 1. 0. 1. 0. 0.],[1. 1. 1. 1. 1. 1.],"[  0.  -1.   0.  -1.  18. -21.   0.  -1.   4.  -1.  43. -29.  -2.   2.
  -4.  -2. -13.   8.]"
1071,[  4. 183.  16. 283.  38.  88.],[0. 1. 0. 1. 0. 0.],[1. 1. 1. 1. 1. 1.],"[  0.  -1.   0.  -1.  17. -20.   1.  -1.   4.  -1.  43. -29.  -2.   2.
  -5.  -2. -13.   8.]"
1072,[  4. 168.  18. 285.  37.  90.],[0. 1. 0. 1. 0. 0.],[1. 1. 1. 1. 1. 1.],"[  0.   0.   1.  -2.  14. -16.   0.  -2.   4.  -1.  43. -29.  -2.   2.
  -5.  -2. -15.   8.]"
1073,[  0. 154.  20. 287.  36.  93.],[0. 1. 0. 1. 0. 0.],[1. 1. 1. 1. 1. 1.],"[  1.   0.   0.  -1.  12. -16.   0.   1.   2.  -1.  43. -29.  -2.   2.
  -5.  -2. -13.   8.]"
1074,[  0. 139.  14. 292.  35.  94.],[0. 1. 0. 1. 0. 0.],[1. 1. 1. 1. 1. 1.],"[  0.   0.   0.  -2.   7. -11.   0.   2.   2.   0.  43. -29.  -2.   2.
  -5.  -3. -15.   9.]"
1075,[  0. 119.  12. 288.  36.  98.],[0. 1. 0. 1. 0. 0.],[1. 1. 1. 1. 1. 1.],"[  1.   0.   1.  -1.   6.  -9.   0.   3.   1.  -1.  43. -29.  -1.   2.
  -5.  -2. -16.   9.]"
1076,[  0.  97.   9. 288.  35. 102.],[0. 0. 0. 1. 0. 1.],[1. 1. 1. 1. 1. 1.],"[  1.   0.   0.  -1.   2.  -6.   0.   2.   2.  -1.  42. -29.  -2.   1.
  -5.  -3. -17.  11.]"
1077,[  0.  74.  15. 287.  34. 108.],[0. 0. 0. 1. 0. 1.],[1. 1. 1. 1. 1. 1.],"[  2.   0.   1.   0.   1.  -4.   0.   2.   1.  -1.  44. -29.  -2.   1.
  -4.  -2. -16.  10.]"
1078,[  0.  46.  15. 288.  32. 113.],[0. 0. 0. 1. 0. 1.],[1. 1. 1. 1. 1. 1.],"[  1.   0.   1.   0.  -1.  -2.   0.   4.   0.  -1.  44. -29.  -2.   0.
  -4.  -2. -15.   8.]"
1079,[  5.  21.  11. 293.  25. 111.],[0. 0. 0. 1. 0. 1.],[1. 1. 1. 1. 1. 1.],"[  1.  -1.   0.  -1.  -3.  -1.  -1.   4.  -1.  -1.  45. -29.  -1.   0.
  -3.  -2. -15.   8.]"
1080,[  5.  13.  12. 295.  23. 109.],[0. 0. 0. 1. 0. 1.],[1. 1. 1. 1. 1. 1.],"[  1.   0.   0.  -1.  -6.   1.  -1.   5.  -1.  -1.  46. -29.  -2.   0.
  -4.  -2. -16.   8.]"
1081,[  5.   0.  15. 299.  22. 104.],[0. 0. 0. 1. 0. 1.],[1. 1. 1. 1. 1. 1.],"[  1.   0.   1.  -1.  -9.   4.  -1.   4.  -2.  -1.  47. -30.  -1.  -1.
  -3.  -2. -18.   8.]"
1082,[  4.  19.  17. 303.  20. 104.],[0. 0. 0. 1. 0. 1.],[1. 1. 1. 1. 1. 1.],"[  1.  -1.   1.  -1.  -9.   5.  -1.   4.  -2.  -3.  47. -30.  -2.  -1.
  -3.  -2. -18.   9.]"
1083,[  4.  31.  27. 309.  19. 108.],[0. 0. 0. 1. 0. 1.],[1. 1. 1. 1. 1. 1.],"[  1.   0.  -1.  -1. -10.   6.   0.   4.  -2.  -2.  48. -30.  -2.  -2.
  -3.  -2. -18.  10.]"
1084,[  4.  54.  24. 314.  20. 113.],[0. 0. 0. 1. 0. 1.],[1. 1. 1. 1. 1. 1.],"[  1.   3.  -2.  -1. -13.   7.   0.   4.  -4.  -2.  48. -29.  -2.   0.
  -4.   0. -19.  12.]"
